AppID,Name,Genres,Categories,Tags,Rating
396420,,,,,0
2556940,! Shakabula *,"Action, Indie, RPG, Early Access","Single-player, Full controller support, Steam Cloud, Family Sharing","Early Access, Action, RPG, JRPG, Shooter",30
449940,! That Bastard Is Trying To Steal Our Gold !,"Action, Adventure, Casual, Indie","Single-player, Steam Trading Cards, Partial Controller Support, Family Sharing","Puzzle-Platformer, Dark Humor, Dungeon Crawler, Mining, Memes",33
1287250,! Wild Russia !,"Action, Adventure, Casual","Single-player, Steam Achievements, Partial Controller Support, Family Sharing","Adventure, Action, Casual, Horror, Post-apocalyptic",31
866510,!AnyWay!,"Adventure, Casual, Indie","Single-player, Multi-player, Steam Achievements, Full controller support, Steam Trading Cards","Side Scroller, Precision Platformer, 2D Platformer, Casual, Sandbox",37
870990,!LABrpgUP!,"Adventure, Casual, Indie, RPG","Single-player, Family Sharing","Adventure, Indie, Casual, RPG",30
2983840,#!/bin/bash,"Adventure, Casual, Indie","Single-player, Steam Achievements, Family Sharing","Adventure, Point & Click, Clicker, 2D, Text-Based",30
3342050,#7-J5Z: The Driftwood Experiment,"Adventure, Casual, Indie, Free To Play","Single-player, Steam Achievements",,0
861520,#AkiRobots,"Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Cloud, Includes level editor","Puzzle-Platformer, Level Editor, Colorful, Cute, Grid-Based Movement",31
493790,#Archery,"Indie, Sports","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Steam Achievements","Archery, Sports, Indie, VR",30
1921480,#BLUD,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Adventure, Action RPG, Action-Adventure, Dungeon Crawler, Cartoony",35
782100,#CuteSnake,"Casual, Indie, Simulation","Single-player, Steam Achievements, Family Sharing","Casual, Indie, Simulation",31
834180,#CuteSnake 2,"Casual, Indie, Simulation","Single-player, Steam Achievements, Family Sharing","Indie, Casual, Simulation",31
2494780,#DRIVE Rally,"Action, Indie, Racing, Simulation, Sports","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Stats","Racing, Driving, Arcade, Sports, Automobile Sim",36
1100350,#Funtime,"Action, Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Cloud, Steam Leaderboards","Retro, Arcade, Twin Stick Shooter, Fast-Paced, Space",30
3446980,#holoReversi,"Casual, Indie","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen",,0
303720,#KILLALLZOMBIES,"Action, Indie","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen","Action, Indie, Twin Stick Shooter, Zombies, Co-op",35
614910,#monstercakes,"Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud","Casual, Indie, Puzzle, Match 3, Singleplayer",43
3949890,#Oyster Sooource 2120bb,"Action, Indie, Free To Play","Single-player, Steam Achievements",,0
